Bank,Applicant_Type,Age,Business_Vintage,Annual_Turnover,Profit_After_Tax,Credit_Score,Collateral_Required,Approval_Status
ICICI,Proprietor,20,2,24759639,176330,636,No,Approved
ICICI,Partnership,65,5,20045431,2735629,756,Yes,Rejected
ICICI,Pvt Ltd,34,8,22701473,2064296,767,Yes,Approved
ICICI,Pvt Ltd,57,6,21515917,3098674,876,Yes,Approved
ICICI,Proprietor,22,3,24982862,181262,616,Yes,Approved
ICICI,Partnership,22,3,25000299,166456,621,No,Rejected
ICICI,Proprietor,19,3,25322479,181434,633,Yes,Approved
ICICI,Partnership,21,8,40173303,2113105,787,No,Approved
ICICI,Partnership,36,9,22490860,1810613,764,No,Rejected
ICICI,Partnership,22,8,35750067,2199899,834,No,Approved
ICICI,Proprietor,20,8,37210939,2130833,762,No,Rejected
ICICI,Trust,20,3,23149107,180976,746,Yes,Approved
ICICI,Trust,32,8,22712105,1925459,759,No,Rejected
ICICI,Trust,58,5,20784211,2931799,840,Yes,Approved
ICICI,Pvt Ltd,64,5,20936452,2615887,845,Yes,Rejected
ICICI,Proprietor,21,2,23536972,177068,644,No,Approved
ICICI,Proprietor,22,2,24221439,171783,736,Yes,Rejected
ICICI,LLP,62,6,20022799,2765911,891,No,Approved
ICICI,Proprietor,18,2,26398505,178423,714,Yes,Rejected
ICICI,LLP,21,3,23842460,186928,718,Yes,Approved
ICICI,Proprietor,21,2,25401694,173419,669,Yes,Rejected
ICICI,Partnership,22,8,36345108,2250744,843,Yes,Rejected
ICICI,Trust,36,8,21811130,2011073,756,No,Approved
ICICI,LLP,59,6,19877301,3076937,884,No,Rejected
ICICI,Pvt Ltd,20,9,39286812,2250591,870,Yes,Approved
ICICI,Partnership,64,5,21644765,2589553,897,Yes,Rejected
ICICI,Pvt Ltd,20,9,42166478,2059475,754,No,Rejected
ICICI,LLP,55,5,21108367,2869656,799,Yes,Approved
ICICI,Proprietor,21,2,25373984,192943,677,Yes,Rejected
ICICI,Partnership,32,9,19658306,1711464,654,Yes,Approved
ICICI,Proprietor,55,6,21375658,3033960,902,Yes,Rejected
ICICI,Partnership,54,5,22231480,2576976,818,No,Rejected
ICICI,Trust,59,5,20427778,3073560,858,No,Approved
ICICI,Pvt Ltd,35,8,22960178,2002314,725,No,Rejected
ICICI,Partnership,21,9,36066385,2383139,724,Yes,Approved
ICICI,Trust,20,8,39025038,2293154,854,Yes,Approved
ICICI,Trust,37,9,20383898,1835705,707,No,Approved
ICICI,Trust,21,3,23191468,180680,699,No,Rejected
ICICI,Trust,55,5,20287721,2987646,794,No,Approved
ICICI,LLP,23,9,42244587,2026199,757,No,Rejected
ICICI,Proprietor,20,8,39869029,2100625,859,No,Approved
ICICI,Partnership,57,5,21638205,3043657,799,No,Rejected
ICICI,Trust,21,9,36836456,2387216,741,No,Rejected
ICICI,LLP,22,9,42529121,2368142,720,No,Rejected
ICICI,Partnership,19,2,23158837,187214,728,Yes,Approved
ICICI,Partnership,37,9,22302372,1727084,694,Yes,Rejected
ICICI,Trust,60,5,20429542,2922865,888,No,Rejected
ICICI,LLP,23,8,40915885,2266969,799,No,Rejected
ICICI,Trust,62,6,21232141,2597339,791,No,Rejected
ICICI,Partnership,35,8,22673367,2034297,712,No,Rejected
ICICI,Partnership,21,8,42742278,2320945,719,Yes,Approved
ICICI,Pvt Ltd,21,9,43268936,2225724,861,Yes,Approved
ICICI,Partnership,21,9,38587739,2017852,844,Yes,Approved
ICICI,Pvt Ltd,36,8,23388925,2085344,647,No,Rejected
ICICI,Pvt Ltd,56,5,22182476,2781163,873,No,Rejected
ICICI,Trust,55,5,20321435,2606989,748,Yes,Approved
ICICI,Partnership,20,9,40850198,2135179,863,No,Rejected
ICICI,LLP,36,8,21298858,1819010,780,Yes,Approved
ICICI,Partnership,57,6,20882289,2768671,853,No,Approved
ICICI,LLP,59,6,20827081,2577636,786,Yes,Rejected
ICICI,Pvt Ltd,64,5,18744652,2762286,746,Yes,Rejected
ICICI,Trust,20,9,43315631,2361338,730,No,Rejected
ICICI,Proprietor,65,5,20385903,2663180,789,Yes,Rejected
ICICI,Proprietor,22,3,25073236,190922,691,Yes,Approved
ICICI,Proprietor,20,2,26892085,174849,667,No,Rejected
ICICI,Proprietor,21,2,25000922,170140,742,Yes,Approved
ICICI,Partnership,38,9,19889022,1714916,643,No,Rejected
ICICI,LLP,56,6,19540041,2576660,874,No,Approved
ICICI,Partnership,21,2,27208277,201374,657,Yes,Rejected
ICICI,Partnership,38,9,21660191,1862009,762,No,Approved
ICICI,Partnership,22,9,42379232,2273744,859,No,Rejected
ICICI,Trust,37,8,20448420,1752165,722,Yes,Approved
ICICI,Pvt Ltd,37,9,21108880,1710224,646,Yes,Rejected
ICICI,Partnership,20,8,36335996,2346557,753,Yes,Approved
ICICI,LLP,22,9,38393724,1982805,804,Yes,Approved
ICICI,Partnership,39,8,21515903,1755708,675,Yes,Rejected
ICICI,LLP,20,9,41520478,2295868,729,Yes,Rejected
ICICI,Proprietor,20,2,24537549,169665,747,Yes,Approved
ICICI,Partnership,36,9,20576570,1753700,646,Yes,Rejected
ICICI,LLP,22,2,27386011,198421,622,No,Approved
ICICI,Partnership,21,9,39362609,2127754,867,No,Rejected
ICICI,Proprietor,23,9,41527552,2133835,845,Yes,Approved
ICICI,LLP,21,2,26606627,199962,660,No,Approved
ICICI,Pvt Ltd,21,3,22956022,180784,712,No,Rejected
ICICI,Pvt Ltd,35,8,22463258,1868625,665,No,Approved
ICICI,Pvt Ltd,32,8,22782945,1887353,667,No,Rejected
ICICI,Proprietor,65,5,21038398,3083147,828,Yes,Approved
ICICI,Trust,19,2,24827658,185575,626,No,Approved
ICICI,Proprietor,21,3,23708486,200448,618,Yes,Rejected
ICICI,Pvt Ltd,32,9,20348160,1952172,750,Yes,Approved
ICICI,Proprietor,22,3,27534185,182337,672,No,Rejected
ICICI,Pvt Ltd,19,3,23106345,170412,660,No,Approved
ICICI,LLP,19,9,43121804,2372490,734,Yes,Approved
ICICI,Proprietor,60,5,18943927,2557719,895,No,Rejected
ICICI,Trust,22,8,41505758,2024737,799,Yes,Approved
ICICI,Pvt Ltd,62,6,18474087,2980441,883,No,Rejected
ICICI,Partnership,21,9,35699508,2390265,751,Yes,Approved
ICICI,Partnership,58,6,19982200,3083041,853,Yes,Rejected
ICICI,Trust,34,9,21791946,1937346,760,Yes,Approved
ICICI,LLP,37,9,21610490,1880141,741,No,Approved
ICICI,Proprietor,35,9,20444297,2035506,746,No,Rejected
ICICI,LLP,34,8,20074467,1817294,669,Yes,Approved
ICICI,Proprietor,22,8,39379136,2400382,846,Yes,Rejected
ICICI,Trust,59,5,20174794,3043112,763,No,Approved
ICICI,LLP,21,8,42307619,2047269,826,Yes,Approved
ICICI,Proprietor,20,2,26560115,179433,633,No,Rejected
ICICI,Trust,56,6,20447172,2931312,798,Yes,Approved
ICICI,Partnership,22,8,35914270,2000135,852,No,Approved
ICICI,Partnership,62,5,19410672,2862162,761,No,Rejected
ICICI,Pvt Ltd,37,8,21028963,1772879,769,No,Approved
ICICI,Partnership,61,6,21560240,2899282,845,Yes,Rejected
ICICI,LLP,23,9,38458813,2326134,779,Yes,Approved
ICICI,Partnership,36,8,22367473,1843333,693,No,Rejected
ICICI,Trust,38,9,23956338,2080014,770,Yes,Approved
ICICI,Pvt Ltd,32,9,19609088,1927106,703,No,Approved
ICICI,Proprietor,22,3,23245918,181488,675,No,Rejected
ICICI,Pvt Ltd,20,2,23092825,200280,676,No,Rejected
ICICI,Proprietor,33,9,22826942,1940255,713,No,Approved
ICICI,LLP,21,9,42496077,2303690,848,No,Approved
ICICI,Proprietor,20,9,35711851,2379264,862,No,Rejected
ICICI,Trust,57,5,19205532,2973621,781,No,Approved
ICICI,Partnership,58,5,21198827,2891868,748,No,Rejected
ICICI,Pvt Ltd,18,2,23149840,196203,678,No,Approved
ICICI,LLP,39,8,23035835,1960954,759,Yes,Rejected
ICICI,LLP,23,8,36130356,2130122,869,Yes,Approved
ICICI,Trust,36,9,20546944,1803610,717,Yes,Approved
ICICI,LLP,21,8,39978776,2327761,718,Yes,Approved
ICICI,Partnership,33,9,23414852,1768018,683,No,Approved
ICICI,Partnership,21,9,37905259,2191255,865,No,Approved
ICICI,LLP,23,9,37112233,2034779,807,No,Approved
ICICI,Trust,19,3,22921842,188015,679,Yes,Approved
ICICI,LLP,22,3,25695628,174070,723,Yes,Approved
ICICI,Partnership,38,8,21216604,1776138,766,Yes,Rejected
ICICI,Partnership,22,9,39222464,2091616,791,No,Rejected
ICICI,Proprietor,19,3,27486767,168234,634,No,Approved
ICICI,Proprietor,22,3,23422316,202421,627,Yes,Approved
ICICI,Pvt Ltd,58,5,18831348,2594885,864,Yes,Approved
ICICI,Pvt Ltd,34,9,23723744,1715258,692,Yes,Approved
ICICI,Pvt Ltd,21,9,38311193,2082663,865,No,Approved
ICICI,Partnership,58,6,19746780,3001555,827,Yes,Rejected
ICICI,Pvt Ltd,20,9,39469256,2221255,789,No,Approved
ICICI,Proprietor,37,9,21879202,2000651,715,Yes,Rejected
ICICI,Partnership,35,9,20308691,1764802,749,Yes,Rejected
ICICI,LLP,21,3,26800064,167978,704,Yes,Approved
ICICI,Partnership,20,8,42713559,2043179,731,Yes,Rejected
ICICI,Pvt Ltd,22,9,41255767,2231872,870,No,Approved
ICICI,Proprietor,22,8,41607746,2304763,840,Yes,Approved
ICICI,Partnership,20,2,24034623,168920,684,No,Rejected
ICICI,Trust,32,9,20223244,2070309,741,Yes,Approved
ICICI,Pvt Ltd,34,9,19770632,2045621,666,Yes,Rejected
ICICI,Trust,38,8,22589422,1898030,671,Yes,Rejected
ICICI,Pvt Ltd,34,9,21377381,1840005,778,No,Rejected
ICICI,LLP,59,5,19473103,2804029,762,No,Approved
ICICI,Partnership,21,8,43038618,2311245,776,Yes,Rejected
ICICI,Trust,20,8,40748232,2112538,850,No,Approved
ICICI,Pvt Ltd,24,8,41725427,2162506,729,Yes,Rejected
ICICI,LLP,34,8,22050094,2069701,709,Yes,Rejected
ICICI,LLP,63,5,21996933,2698010,808,No,Approved
ICICI,Trust,38,9,19852387,1982360,754,No,Approved
ICICI,LLP,37,9,23637022,1770286,653,Yes,Approved
ICICI,LLP,61,6,18958131,2861461,775,Yes,Rejected
ICICI,Pvt Ltd,56,6,22149034,2962280,830,Yes,Rejected
ICICI,LLP,33,9,22731796,1907242,694,No,Approved
ICICI,Trust,19,2,24713277,196831,668,No,Approved
ICICI,Proprietor,23,9,42814241,2201913,863,No,Rejected
ICICI,Pvt Ltd,22,8,36505723,2211778,832,Yes,Approved
ICICI,Pvt Ltd,22,8,38440872,2232026,856,No,Rejected
ICICI,Proprietor,32,9,21107683,1714078,646,Yes,Rejected
ICICI,Proprietor,23,8,38482745,2044743,742,Yes,Approved
ICICI,Trust,19,2,24499722,169425,748,Yes,Approved
ICICI,Proprietor,32,8,21090482,1909041,666,Yes,Approved
ICICI,Trust,56,6,19580991,2734352,876,Yes,Approved
ICICI,Pvt Ltd,36,8,19765248,1868355,748,Yes,Rejected
ICICI,LLP,37,9,21913077,1770200,777,Yes,Rejected
ICICI,Proprietor,54,6,18985914,2801618,871,Yes,Rejected
ICICI,Proprietor,34,9,23523977,1921583,683,No,Approved
ICICI,LLP,63,5,19527907,3018063,845,No,Rejected
ICICI,Pvt Ltd,22,2,23318991,189280,742,No,Approved
ICICI,Partnership,34,9,21118074,2042870,690,Yes,Rejected
ICICI,Partnership,19,9,36805182,1978563,797,Yes,Approved
ICICI,Partnership,19,2,24542217,174461,733,Yes,Rejected
ICICI,Pvt Ltd,59,6,19458640,2660969,766,No,Rejected
ICICI,Pvt Ltd,23,2,23733869,201281,706,Yes,Rejected
ICICI,Partnership,20,3,25965934,199025,725,No,Approved
ICICI,LLP,62,5,21915078,3008764,754,No,Approved
ICICI,Partnership,62,6,20396149,2817504,888,Yes,Rejected
ICICI,Pvt Ltd,19,2,24501791,197896,676,No,Rejected
ICICI,Proprietor,20,2,24759639,176330,636,No,Approved
ICICI,Partnership,65,5,20045431,2735629,756,Yes,Rejected
ICICI,Pvt Ltd,34,8,22701473,2064296,767,Yes,Approved
ICICI,Pvt Ltd,57,6,21515917,3098674,876,Yes,Approved
ICICI,Proprietor,22,3,24982862,181262,616,Yes,Approved
ICICI,Partnership,22,3,25000299,166456,621,No,Rejected
ICICI,Proprietor,19,3,25322479,181434,633,Yes,Approved
ICICI,Partnership,21,8,40173303,2113105,787,No,Approved
ICICI,Partnership,36,9,22490860,1810613,764,No,Rejected
ICICI,Partnership,22,8,35750067,2199899,834,No,Approved
ICICI,Proprietor,20,8,37210939,2130833,762,No,Rejected
ICICI,Trust,20,3,23149107,180976,746,Yes,Approved
ICICI,Trust,32,8,22712105,1925459,759,No,Rejected
ICICI,Trust,58,5,20784211,2931799,840,Yes,Approved
ICICI,Pvt Ltd,64,5,20936452,2615887,845,Yes,Rejected
ICICI,Proprietor,21,2,23536972,177068,644,No,Approved
ICICI,Proprietor,22,2,24221439,171783,736,Yes,Rejected
ICICI,LLP,62,6,20022799,2765911,891,No,Approved
ICICI,Proprietor,18,2,26398505,178423,714,Yes,Rejected
ICICI,LLP,21,3,23842460,186928,718,Yes,Approved
ICICI,Proprietor,21,2,25401694,173419,669,Yes,Rejected
ICICI,Partnership,22,8,36345108,2250744,843,Yes,Rejected
ICICI,Trust,36,8,21811130,2011073,756,No,Approved
ICICI,LLP,59,6,19877301,3076937,884,No,Rejected
ICICI,Pvt Ltd,20,9,39286812,2250591,870,Yes,Approved
ICICI,Partnership,64,5,21644765,2589553,897,Yes,Rejected
ICICI,Pvt Ltd,20,9,42166478,2059475,754,No,Rejected
ICICI,LLP,55,5,21108367,2869656,799,Yes,Approved
ICICI,Proprietor,21,2,25373984,192943,677,Yes,Rejected
ICICI,Partnership,32,9,19658306,1711464,654,Yes,Approved
ICICI,Proprietor,55,6,21375658,3033960,902,Yes,Rejected
ICICI,Partnership,54,5,22231480,2576976,818,No,Rejected
ICICI,Trust,59,5,20427778,3073560,858,No,Approved
ICICI,Pvt Ltd,35,8,22960178,2002314,725,No,Rejected
ICICI,Partnership,21,9,36066385,2383139,724,Yes,Approved
ICICI,Trust,20,8,39025038,2293154,854,Yes,Approved
ICICI,Trust,37,9,20383898,1835705,707,No,Approved
ICICI,Trust,21,3,23191468,180680,699,No,Rejected
ICICI,Trust,55,5,20287721,2987646,794,No,Approved
ICICI,LLP,23,9,42244587,2026199,757,No,Rejected
ICICI,Proprietor,20,8,39869029,2100625,859,No,Approved
ICICI,Partnership,57,5,21638205,3043657,799,No,Rejected
ICICI,Trust,21,9,36836456,2387216,741,No,Rejected
ICICI,LLP,22,9,42529121,2368142,720,No,Rejected
ICICI,Partnership,19,2,23158837,187214,728,Yes,Approved
ICICI,Partnership,37,9,22302372,1727084,694,Yes,Rejected
ICICI,Trust,60,5,20429542,2922865,888,No,Rejected
ICICI,LLP,23,8,40915885,2266969,799,No,Rejected
ICICI,Trust,62,6,21232141,2597339,791,No,Rejected
ICICI,Partnership,35,8,22673367,2034297,712,No,Rejected
ICICI,Partnership,21,8,42742278,2320945,719,Yes,Approved
ICICI,Pvt Ltd,21,9,43268936,2225724,861,Yes,Approved
ICICI,Partnership,21,9,38587739,2017852,844,Yes,Approved
ICICI,Pvt Ltd,36,8,23388925,2085344,647,No,Rejected
ICICI,Pvt Ltd,56,5,22182476,2781163,873,No,Rejected
ICICI,Trust,55,5,20321435,2606989,748,Yes,Approved
ICICI,Partnership,20,9,40850198,2135179,863,No,Rejected
ICICI,LLP,36,8,21298858,1819010,780,Yes,Approved
ICICI,Partnership,57,6,20882289,2768671,853,No,Approved
ICICI,LLP,59,6,20827081,2577636,786,Yes,Rejected
ICICI,Pvt Ltd,64,5,18744652,2762286,746,Yes,Rejected
ICICI,Trust,20,9,43315631,2361338,730,No,Rejected
ICICI,Proprietor,65,5,20385903,2663180,789,Yes,Rejected
ICICI,Proprietor,22,3,25073236,190922,691,Yes,Approved
ICICI,Proprietor,20,2,26892085,174849,667,No,Rejected
ICICI,Proprietor,21,2,25000922,170140,742,Yes,Approved
ICICI,Partnership,38,9,19889022,1714916,643,No,Rejected
ICICI,LLP,56,6,19540041,2576660,874,No,Approved
ICICI,Partnership,21,2,27208277,201374,657,Yes,Rejected
ICICI,Partnership,38,9,21660191,1862009,762,No,Approved
ICICI,Partnership,22,9,42379232,2273744,859,No,Rejected
ICICI,Trust,37,8,20448420,1752165,722,Yes,Approved
ICICI,Pvt Ltd,37,9,21108880,1710224,646,Yes,Rejected
ICICI,Partnership,20,8,36335996,2346557,753,Yes,Approved
ICICI,LLP,22,9,38393724,1982805,804,Yes,Approved
ICICI,Partnership,39,8,21515903,1755708,675,Yes,Rejected
ICICI,LLP,20,9,41520478,2295868,729,Yes,Rejected
ICICI,Proprietor,20,2,24537549,169665,747,Yes,Approved
ICICI,Partnership,36,9,20576570,1753700,646,Yes,Rejected
ICICI,LLP,22,2,27386011,198421,622,No,Approved
ICICI,Partnership,21,9,39362609,2127754,867,No,Rejected
ICICI,Proprietor,23,9,41527552,2133835,845,Yes,Approved
ICICI,LLP,21,2,26606627,199962,660,No,Approved
ICICI,Pvt Ltd,21,3,22956022,180784,712,No,Rejected
ICICI,Pvt Ltd,35,8,22463258,1868625,665,No,Approved
ICICI,Pvt Ltd,32,8,22782945,1887353,667,No,Rejected
ICICI,Proprietor,65,5,21038398,3083147,828,Yes,Approved
ICICI,Trust,19,2,24827658,185575,626,No,Approved
ICICI,Proprietor,21,3,23708486,200448,618,Yes,Rejected
ICICI,Pvt Ltd,32,9,20348160,1952172,750,Yes,Approved
ICICI,Proprietor,22,3,27534185,182337,672,No,Rejected
ICICI,Pvt Ltd,19,3,23106345,170412,660,No,Approved
ICICI,LLP,19,9,43121804,2372490,734,Yes,Approved
ICICI,Proprietor,60,5,18943927,2557719,895,No,Rejected
ICICI,Trust,22,8,41505758,2024737,799,Yes,Approved
ICICI,Pvt Ltd,62,6,18474087,2980441,883,No,Rejected
ICICI,Partnership,21,9,35699508,2390265,751,Yes,Approved
ICICI,Partnership,58,6,19982200,3083041,853,Yes,Rejected
ICICI,Trust,34,9,21791946,1937346,760,Yes,Approved
ICICI,LLP,37,9,21610490,1880141,741,No,Approved
ICICI,Proprietor,35,9,20444297,2035506,746,No,Rejected
ICICI,LLP,34,8,20074467,1817294,669,Yes,Approved
ICICI,Proprietor,22,8,39379136,2400382,846,Yes,Rejected
ICICI,Trust,59,5,20174794,3043112,763,No,Approved
ICICI,LLP,21,8,42307619,2047269,826,Yes,Approved
ICICI,Proprietor,20,2,26560115,179433,633,No,Rejected
ICICI,Trust,56,6,20447172,2931312,798,Yes,Approved
ICICI,Partnership,22,8,35914270,2000135,852,No,Approved
ICICI,Partnership,62,5,19410672,2862162,761,No,Rejected
ICICI,Pvt Ltd,37,8,21028963,1772879,769,No,Approved
ICICI,Partnership,61,6,21560240,2899282,845,Yes,Rejected
ICICI,LLP,23,9,38458813,2326134,779,Yes,Approved
ICICI,Partnership,36,8,22367473,1843333,693,No,Rejected
ICICI,Trust,38,9,23956338,2080014,770,Yes,Approved
ICICI,Pvt Ltd,32,9,19609088,1927106,703,No,Approved
ICICI,Proprietor,22,3,23245918,181488,675,No,Rejected
ICICI,Pvt Ltd,20,2,23092825,200280,676,No,Rejected
ICICI,Proprietor,33,9,22826942,1940255,713,No,Approved
ICICI,LLP,21,9,42496077,2303690,848,No,Approved
ICICI,Proprietor,20,9,35711851,2379264,862,No,Rejected
ICICI,Trust,57,5,19205532,2973621,781,No,Approved
ICICI,Partnership,58,5,21198827,2891868,748,No,Rejected
ICICI,Pvt Ltd,18,2,23149840,196203,678,No,Approved
ICICI,LLP,39,8,23035835,1960954,759,Yes,Rejected
ICICI,LLP,23,8,36130356,2130122,869,Yes,Approved
ICICI,Trust,36,9,20546944,1803610,717,Yes,Approved
ICICI,LLP,21,8,39978776,2327761,718,Yes,Approved
ICICI,Partnership,33,9,23414852,1768018,683,No,Approved
ICICI,Partnership,21,9,37905259,2191255,865,No,Approved
ICICI,LLP,23,9,37112233,2034779,807,No,Approved
ICICI,Trust,19,3,22921842,188015,679,Yes,Approved
ICICI,LLP,22,3,25695628,174070,723,Yes,Approved
ICICI,Partnership,38,8,21216604,1776138,766,Yes,Rejected
ICICI,Partnership,22,9,39222464,2091616,791,No,Rejected
ICICI,Proprietor,19,3,27486767,168234,634,No,Approved
ICICI,Proprietor,22,3,23422316,202421,627,Yes,Approved
ICICI,Pvt Ltd,58,5,18831348,2594885,864,Yes,Approved
ICICI,Pvt Ltd,34,9,23723744,1715258,692,Yes,Approved
ICICI,Pvt Ltd,21,9,38311193,2082663,865,No,Approved
ICICI,Partnership,58,6,19746780,3001555,827,Yes,Rejected
ICICI,Pvt Ltd,20,9,39469256,2221255,789,No,Approved
ICICI,Proprietor,37,9,21879202,2000651,715,Yes,Rejected
ICICI,Partnership,35,9,20308691,1764802,749,Yes,Rejected
ICICI,LLP,21,3,26800064,167978,704,Yes,Approved
ICICI,Partnership,20,8,42713559,2043179,731,Yes,Rejected
ICICI,Pvt Ltd,22,9,41255767,2231872,870,No,Approved
ICICI,Proprietor,22,8,41607746,2304763,840,Yes,Approved
ICICI,Partnership,20,2,24034623,168920,684,No,Rejected
ICICI,Trust,32,9,20223244,2070309,741,Yes,Approved
ICICI,Pvt Ltd,34,9,19770632,2045621,666,Yes,Rejected
ICICI,Trust,38,8,22589422,1898030,671,Yes,Rejected
ICICI,Pvt Ltd,34,9,21377381,1840005,778,No,Rejected
ICICI,LLP,59,5,19473103,2804029,762,No,Approved
ICICI,Partnership,21,8,43038618,2311245,776,Yes,Rejected
ICICI,Trust,20,8,40748232,2112538,850,No,Approved
ICICI,Pvt Ltd,24,8,41725427,2162506,729,Yes,Rejected
ICICI,LLP,34,8,22050094,2069701,709,Yes,Rejected
ICICI,LLP,63,5,21996933,2698010,808,No,Approved
ICICI,Trust,38,9,19852387,1982360,754,No,Approved
ICICI,LLP,37,9,23637022,1770286,653,Yes,Approved
ICICI,LLP,61,6,18958131,2861461,775,Yes,Rejected
ICICI,Pvt Ltd,56,6,22149034,2962280,830,Yes,Rejected
ICICI,LLP,33,9,22731796,1907242,694,No,Approved
ICICI,Trust,19,2,24713277,196831,668,No,Approved
ICICI,Proprietor,23,9,42814241,2201913,863,No,Rejected
ICICI,Pvt Ltd,22,8,36505723,2211778,832,Yes,Approved
ICICI,Pvt Ltd,22,8,38440872,2232026,856,No,Rejected
ICICI,Proprietor,32,9,21107683,1714078,646,Yes,Rejected
ICICI,Proprietor,23,8,38482745,2044743,742,Yes,Approved
ICICI,Trust,19,2,24499722,169425,748,Yes,Approved
ICICI,Proprietor,32,8,21090482,1909041,666,Yes,Approved
ICICI,Trust,56,6,19580991,2734352,876,Yes,Approved
ICICI,Pvt Ltd,36,8,19765248,1868355,748,Yes,Rejected
ICICI,LLP,37,9,21913077,1770200,777,Yes,Rejected
ICICI,Proprietor,54,6,18985914,2801618,871,Yes,Rejected
ICICI,Proprietor,34,9,23523977,1921583,683,No,Approved
ICICI,LLP,63,5,19527907,3018063,845,No,Rejected
ICICI,Pvt Ltd,22,2,23318991,189280,742,No,Approved
ICICI,Partnership,34,9,21118074,2042870,690,Yes,Rejected
ICICI,Partnership,19,9,36805182,1978563,797,Yes,Approved
ICICI,Partnership,19,2,24542217,174461,733,Yes,Rejected
ICICI,Pvt Ltd,59,6,19458640,2660969,766,No,Rejected
ICICI,Pvt Ltd,23,2,23733869,201281,706,Yes,Rejected
ICICI,Partnership,20,3,25965934,199025,725,No,Approved
ICICI,LLP,62,5,21915078,3008764,754,No,Approved
ICICI,Partnership,62,6,20396149,2817504,888,Yes,Rejected
ICICI,Pvt Ltd,19,2,24501791,197896,676,No,Rejected
ICICI,Proprietor,20,2,24759639,176330,636,No,Approved
ICICI,Partnership,65,5,20045431,2735629,756,Yes,Rejected
ICICI,Pvt Ltd,34,8,22701473,2064296,767,Yes,Approved
ICICI,Pvt Ltd,57,6,21515917,3098674,876,Yes,Approved
ICICI,Proprietor,22,3,24982862,181262,616,Yes,Approved
ICICI,Partnership,22,3,25000299,166456,621,No,Rejected
ICICI,Proprietor,19,3,25322479,181434,633,Yes,Approved
ICICI,Partnership,21,8,40173303,2113105,787,No,Approved
ICICI,Partnership,36,9,22490860,1810613,764,No,Rejected
ICICI,Partnership,22,8,35750067,2199899,834,No,Approved
ICICI,Proprietor,20,8,37210939,2130833,762,No,Rejected
ICICI,Trust,20,3,23149107,180976,746,Yes,Approved
ICICI,Trust,32,8,22712105,1925459,759,No,Rejected
ICICI,Trust,58,5,20784211,2931799,840,Yes,Approved
ICICI,Pvt Ltd,64,5,20936452,2615887,845,Yes,Rejected
ICICI,Proprietor,21,2,23536972,177068,644,No,Approved
ICICI,Proprietor,22,2,24221439,171783,736,Yes,Rejected
ICICI,LLP,62,6,20022799,2765911,891,No,Approved
ICICI,Proprietor,18,2,26398505,178423,714,Yes,Rejected
ICICI,LLP,21,3,23842460,186928,718,Yes,Approved
ICICI,Proprietor,21,2,25401694,173419,669,Yes,Rejected
ICICI,Partnership,22,8,36345108,2250744,843,Yes,Rejected
ICICI,Trust,36,8,21811130,2011073,756,No,Approved
ICICI,LLP,59,6,19877301,3076937,884,No,Rejected
ICICI,Pvt Ltd,20,9,39286812,2250591,870,Yes,Approved
ICICI,Partnership,64,5,21644765,2589553,897,Yes,Rejected
ICICI,Pvt Ltd,20,9,42166478,2059475,754,No,Rejected
ICICI,LLP,55,5,21108367,2869656,799,Yes,Approved
ICICI,Proprietor,21,2,25373984,192943,677,Yes,Rejected
ICICI,Partnership,32,9,19658306,1711464,654,Yes,Approved
ICICI,Proprietor,55,6,21375658,3033960,902,Yes,Rejected
ICICI,Partnership,54,5,22231480,2576976,818,No,Rejected
ICICI,Trust,59,5,20427778,3073560,858,No,Approved
ICICI,Pvt Ltd,35,8,22960178,2002314,725,No,Rejected
ICICI,Partnership,21,9,36066385,2383139,724,Yes,Approved
ICICI,Trust,20,8,39025038,2293154,854,Yes,Approved
ICICI,Trust,37,9,20383898,1835705,707,No,Approved
ICICI,Trust,21,3,23191468,180680,699,No,Rejected
ICICI,Trust,55,5,20287721,2987646,794,No,Approved
ICICI,LLP,23,9,42244587,2026199,757,No,Rejected
ICICI,Proprietor,20,8,39869029,2100625,859,No,Approved
ICICI,Partnership,57,5,21638205,3043657,799,No,Rejected
ICICI,Trust,21,9,36836456,2387216,741,No,Rejected
ICICI,LLP,22,9,42529121,2368142,720,No,Rejected
ICICI,Partnership,19,2,23158837,187214,728,Yes,Approved
ICICI,Partnership,37,9,22302372,1727084,694,Yes,Rejected
ICICI,Trust,60,5,20429542,2922865,888,No,Rejected
ICICI,LLP,23,8,40915885,2266969,799,No,Rejected
ICICI,Trust,62,6,21232141,2597339,791,No,Rejected
ICICI,Partnership,35,8,22673367,2034297,712,No,Rejected
ICICI,Partnership,21,8,42742278,2320945,719,Yes,Approved
ICICI,Pvt Ltd,21,9,43268936,2225724,861,Yes,Approved
ICICI,Partnership,21,9,38587739,2017852,844,Yes,Approved
ICICI,Pvt Ltd,36,8,23388925,2085344,647,No,Rejected
ICICI,Pvt Ltd,56,5,22182476,2781163,873,No,Rejected
ICICI,Trust,55,5,20321435,2606989,748,Yes,Approved
ICICI,Partnership,20,9,40850198,2135179,863,No,Rejected
ICICI,LLP,36,8,21298858,1819010,780,Yes,Approved
ICICI,Partnership,57,6,20882289,2768671,853,No,Approved
ICICI,LLP,59,6,20827081,2577636,786,Yes,Rejected
ICICI,Pvt Ltd,64,5,18744652,2762286,746,Yes,Rejected
ICICI,Trust,20,9,43315631,2361338,730,No,Rejected
